individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent
NEON.PLA.D01.HARV.01053,D01,BELE,10.4,Betula lenta L.,190.6,HARV,42.424254,-72.258286,53.1,25.6,16.5,0.193,1.022,0.736,14,4.06,3.67,0.195,0.107,2764,78.6,6.3,34,71.8,2,49.37
NEON.PLA.D01.HARV.01054,D01,QURU,17.9,Quercus rubra L.,190.6,HARV,42.424254,-72.258286,91.2,20.88,15.87,0.125,0.627,0.954,6.26,1.54,1.8,0.156,0.11,1930.6,43.4,5.4,48,20.7,1.91,49.21
NEON.PLA.D01.HARV.01059,D01,ACRU,8.3,Acer rubrum L.,190.6,HARV,42.424254,-72.258286,70.3,14.21,16.41,0.172,0.696,0.655,10.94,3.13,2.89,0.127,0.095,1647.5,44.5,6.8,39.2,1.8,1.6,48.37
NEON.PLA.D01.HARV.01135,D01,ACSA3,14.8,Acer saccharum Marshall,184.3,HARV,42.39229,-72.25461,68.6,10.91,14.54,0.197,0.915,0.897,16.64,5.03,4.95,0.079,0.175,1228.8,56.7,5.2,51,10.8,1.73,47.31
NEON.PLA.D01.HARV.01137,D01,PIST,18.6,Pinus strobus L.,184.3,HARV,42.39229,-72.25461,188.6,18.55,18.07,0.127,0.34,0.29,9.56,2.89,2.29,0.115,0.1,616.6,38.5,4.7,18.6,40.7,1.41,51.855000000000004
NEON.PLA.D01.HARV.01146,D01,QURU,22.8,Quercus rubra L.,184.3,HARV,42.39229,-72.25461,98.3,12.77,14.53,0.139,0.389,0.632,16.68,3.56,4.06,0.129,0.112,1329.8,33.7,4.8,25.5,15.4,1.87,48.22
NEON.PLA.D01.HARV.01163,D01,QUVE,14.5,Quercus velutina Lam.,188.5,HARV,42.403097,-72.253722,95.9,21.21,17.11,0.144,0.451,0.509,11.68,2.16,3.14,0.24,0.105,2031.1,38.2,4.3,43.3,11.2,1.65,49.41
NEON.PLA.D01.HARV.01176,D01,QUAL,12.2,Quercus alba L.,188.5,HARV,42.403097,-72.253722,87.9,12.75,16.65,0.155,0.531,0.373,19.92,5.15,5.54,0.121,0.132,1271.1,45.1,6.3,56.4,3.8,1.91,44.29
NEON.PLA.D01.HARV.01226,D01,PIST,18.8,Pinus strobus L.,188.1,HARV,42.434194,-72.198778,200.3,17.49,17.21,0.155,0.373,0.268,12.56,3.73,2.74,0.108,0.096,517.9,46.6,3.5,15.9,12.9,1.38,52.35
NEON.PLA.D01.HARV.01397,D01,PIST,16.7,Pinus strobus L.,206.5,HARV,42.424733,-72.2546,169,17.435000000000002,17.94,0.102,0.355,0.198,8.24,3,2.17,0.106,0.103,312.8,51.5,2.7,19.4,9.5,1.22,51.54
NEON.PLA.D01.HARV.01410,D01,PIST,17.2,Pinus strobus L.,188.1,HARV,42.434194,-72.198778,186.2,18.39,17.22,0.163,0.39,0.308,10.26,2.94,2.22,0.126,0.098,605.9,40.6,4.1,13.4,26.5,1.27,51.74
NEON.PLA.D01.HARV.01422,D01,PIST,18.4,Pinus strobus L.,188.1,HARV,42.434194,-72.198778,189.4,21.4,18.93,0.16199999999999998,0.36350000000000005,0.2855,12.48,3.44,2.85,0.1285,0.0965,562.9,34.55,4.2,29.25,38.8,1.24,52.06
NEON.PLA.D01.HARV.01532,D01,QURU,20.3,Quercus rubra L.,187.7,HARV,42.48948,-72.2752,103.7,23.09,16.94,0.101,0.472,0.664,8.18,1.63,2.56,0.163,0.113,2122.5,54.3,5.1,38.9,4.4,1.935,50.005
NEON.PLA.D01.HARV.01545,D01,QURU,17.3,Quercus rubra L.,187.7,HARV,42.48948,-72.2752,105.8,23.32,17.01,0.112,0.484,0.809,7.44,1.59,1.99,0.157,0.115,1910.6,44.7,4.3,34.4,13.8,1.85,50.36
NEON.PLA.D01.HARV.01559,D01,ACRU,13.9,Acer rubrum L.,187.7,HARV,42.48948,-72.2752,88.4,11.14,12.68,0.119,0.428,0.529,7.86,2.11,2.01,0.155,0.092,1401.1,43.6,8.6,39.4,15.9,1.37,48.85
NEON.PLA.D01.HARV.01650,D01,TSCA,5.5,Tsuga canadensis (L.) Carrière,206.5,HARV,42.424733,-72.2546,123.3,11.7,17.35,0.164,0.706,0.238,10.32,4.28,3.68,0.108,0.114,340.8,41,3.7,28.7,3.6,1.65,51.3
NEON.PLA.D01.HARV.01660,D01,QURU,19.6,Quercus rubra L.,206.5,HARV,42.424733,-72.2546,99.3,17.08,15.06,0.09,0.401,0.927,10.6,1.92,3.25,0.177,0.099,1018.5,51,3.5,53,16.7,1.57,49.76
NEON.PLA.D01.HARV.01779,D01,QURU,17.3,Quercus rubra L.,188.5,HARV,42.403097,-72.253722,109.1,18.77,15.19,0.1165,0.3865,0.4865,21.6,5.88,5.4,0.1835,0.113,1863.9,46.9,5.05,54,15.600000000000001,1.81,49.02
NEON.PLA.D01.HARV.01928,D01,ACRU,19.5,Acer rubrum L.,199.7,HARV,42.427091,-72.229737,95.2,11.44,11.12,0.13,0.47,0.841,17.52,4.95,4.76,0.212,0.115,1978.3,52.6,18.2,46.7,18.4,1.84,48.61
NEON.PLA.D01.HARV.01937,D01,QUAL,17.2,Quercus alba L.,199.7,HARV,42.427091,-72.229737,94.7,9.87,15.23,0.091,0.414,0.756,23.32,5.45,5.75,0.184,0.129,1199.4,48,6.9,33.3,3.2,2.25,47.6
NEON.PLA.D01.HARV.02027,D01,ACER,17.1,Acer sp.,225.4,HARV,42.436767,-72.228878,57.3,12.9,15.74,0.082,0.433,1.193,14.58,4.01,3.86,0.158,0.138,818.7,64.4,3.5,34.5,3.2,1.43,48.87
NEON.PLA.D01.HARV.02044,D01,ACRU,24.6,Acer rubrum L.,225.4,HARV,42.436767,-72.228878,108.7,15.54,11.19,0.082,0.316,0.736,8.58,1.92,2.19,0.144,0.101,707.1,72.2,4.4,16.2,13,1.34,51.56
NEON.PLA.D01.HARV.02549,D01,PIST,18.2,Pinus strobus L.,174.6,HARV,42.45244,-72.2505,177.1,22.72,18.8,0.103,0.268,0.149,11.48,2.92,2.68,0.096,0.091,485.6,40.6,2.4,17.6,10.3,1.17,53.11
NEON.PLA.D01.HARV.02829,D01,ACRU,3.9,Acer rubrum L.,174.6,HARV,42.45244,-72.2505,84.2,10.56,11.45,0.11,0.475,0.609,12.52,3.33,3.13,0.154,0.102,1254.6,51.9,7.3,34.5,4.1,1.57,48.83
NEON.PLA.D01.HARV.03223,D01,BELE,13.3,Betula lenta L.,192.6,HARV,42.478578,-72.259572,62.7,24.08,14.01,0.12,0.928,0.67,10.66,2.82,2.95,0.218,0.109,914.9,56.5,5.7,37.5,52,2.07,52.28
NEON.PLA.D01.HARV.03230,D01,BELE,7.2,Betula lenta L.,192.6,HARV,42.478578,-72.259572,58.7,27.66,16.72,0.148,0.959,0.52,14.38,4.14,3.95,0.236,0.11,931.5,59,5.9,42.9,30.4,2.17,51.97
NEON.PLA.D01.HARV.03231,D01,QURU,11.5,Quercus rubra L.,192.6,HARV,42.478578,-72.259572,71.1,16.51,17.22,0.087,0.596,0.849,15.64,3.97,4.18,0.171,0.156,947.1,41.7,4.5,46.9,16,1.93,49.28
NEON.PLA.D01.HARV.04552,D01,TSCA,11.6,Tsuga canadensis (L.) Carrière,366.1,HARV,42.539971,-72.178087,122,9.75,15.89,0.22,0.752,0.385,8.79,2.65,3.17,0.144,0.105,551.3,38,3,46.4,1.8,1.19,51.08
