individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent,eventID,plotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,supportingStemIndividualID,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,vertUncert,nlcdClass,appMods,geometry,UTM_E,UTM_N,stemDiameter,height,maxCrownDiameter,ninetyCrownDiameter,growthForm,plantStatus,canopyPosition,shape,crown_size
NEON.PLA.D01.HARV.01053,D01,BELE,10.4,Betula lenta L.,190.6,HARV,42.424254,-72.258286,53.1,25.6,16.5,0.193,1.022,0.736,14,4.06,3.67,0.195,0.107,2764,78.6,6.3,34,71.8,2,49.37,vst_HARV_2014,HARV_001,3,21,28,37.4,NA,basePlot,42.424077,-72.258537,WGS84,18N,725535.562,4700504.162,0.14,GeoXH 6000,0.25,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-72.2585374638599, 42.4240766774582)",725552.5685235123,4700526.405609375,14.7,12.500000000000002,6.999999999999999,6.1,NA,Live,Mostly shaded,NA,measured
NEON.PLA.D01.HARV.01054,D01,QURU,17.9,Quercus rubra L.,190.6,HARV,42.424254,-72.258286,91.2,20.88,15.87,0.125,0.627,0.954,6.26,1.54,1.8,0.156,0.11,1930.6,43.4,5.4,48,20.7,1.91,49.21,vst_HARV_2014,HARV_001,3,49,2.2,123.6,NA,basePlot,42.424346,-72.258409,WGS84,18N,725545.193,4700534.42,0.12,GeoXH 6000,0.14,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-72.2584086574718, 42.4243460697235)",725547.0254267296,4700533.202538592,26.1,19.4,7.900000000000002,6.3500000000000005,single bole tree,Live,Full shade,NA,measured
NEON.PLA.D01.HARV.01059,D01,ACRU,8.3,Acer rubrum L.,190.6,HARV,42.424254,-72.258286,70.3,14.21,16.41,0.172,0.696,0.655,10.94,3.13,2.89,0.127,0.095,1647.5,44.5,6.8,39.2,1.8,1.6,48.37,vst_HARV_2014,HARV_001,3,21,22.8,28.8,NA,basePlot,42.424077,-72.258537,WGS84,18N,725535.562,4700504.162,0.14,GeoXH 6000,0.25,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-72.2585374638599, 42.4240766774582)",725546.5459837696,4700524.141792305,14.399999999999999,15.199999999999998,9.2,6.599999999999999,NA,Live,Mostly shaded,NA,measured
NEON.PLA.D01.HARV.01135,D01,ACSA3,14.8,Acer saccharum Marshall,184.3,HARV,42.39229,-72.25461,68.6,10.91,14.54,0.197,0.915,0.897,16.64,5.03,4.95,0.079,0.175,1228.8,56.7,5.2,51,10.8,1.73,47.31,vst_HARV_2014,HARV_013,NaN,41,5.4,190.5,NA,basePlot,42.39229,-72.25461,WGS84,18N,725972.872,4696984.775,0.19,GeoXH 6000,0.33,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-72.254609670532, 42.3922902604763)",725971.8879281624,4696979.465423499,41.70000000000001,23,12.85,11.199999999999998,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D01.HARV.01137,D01,PIST,18.6,Pinus strobus L.,184.3,HARV,42.39229,-72.25461,188.6,18.55,18.07,0.127,0.34,0.29,9.56,2.89,2.29,0.115,0.1,616.6,38.5,4.7,18.6,40.7,1.41,51.855000000000004,vst_HARV_2014,HARV_013,NaN,41,5.3,110.7,NA,basePlot,42.39229,-72.25461,WGS84,18N,725972.872,4696984.775,0.19,GeoXH 6000,0.33,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-72.254609670532, 42.3922902604763)",725977.8298533633,4696982.901583328,52.55,24.9,10.199999999999998,8.2,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D01.HARV.01146,D01,QURU,22.8,Quercus rubra L.,184.3,HARV,42.39229,-72.25461,98.3,12.77,14.53,0.139,0.389,0.632,16.68,3.56,4.06,0.129,0.112,1329.8,33.7,4.8,25.5,15.4,1.87,48.22,vst_HARV_2014,HARV_013,NaN,41,8.4,275.8,NA,basePlot,42.39229,-72.25461,WGS84,18N,725972.872,4696984.775,0.19,GeoXH 6000,0.33,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-72.254609670532, 42.3922902604763)",725964.5150020458,4696985.623872897,50.45000000000001,24.8,17.65,9.9,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D01.HARV.01163,D01,QUVE,14.5,Quercus velutina Lam.,188.5,HARV,42.403097,-72.253722,95.9,21.21,17.11,0.144,0.451,0.509,11.68,2.16,3.14,0.24,0.105,2031.1,38.2,4.3,43.3,11.2,1.65,49.41,vst_HARV_2014,HARV_006,NaN,41,8.9,333.5,NA,basePlot,42.403097,-72.253722,WGS84,18N,726007.127,4698187.262,0.19,GeoXH 6000,0.33,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-72.2537219705511, 42.4030974840496)",726003.1558394633,4698195.226915819,28.299999999999997,18.25,9.1,7.1000000000000005,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D01.HARV.01176,D01,QUAL,12.2,Quercus alba L.,188.5,HARV,42.403097,-72.253722,87.9,12.75,16.65,0.155,0.531,0.373,19.92,5.15,5.54,0.121,0.132,1271.1,45.1,6.3,56.4,3.8,1.91,44.29,vst_HARV_2015,HARV_006,NaN,41,9.3,54.6,NA,basePlot,42.403097,-72.253722,WGS84,18N,726007.127,4698187.262,0.19,GeoXH 6000,0.33,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-72.2537219705511, 42.4030974840496)",726014.7076885003,4698192.649314903,20.599999999999998,16.75,8.3,6.299999999999999,single bole tree,Live,Full sun,NA,measured
NEON.PLA.D01.HARV.01226,D01,PIST,18.8,Pinus strobus L.,188.1,HARV,42.434194,-72.198778,200.3,17.49,17.21,0.155,0.373,0.268,12.56,3.73,2.74,0.108,0.096,517.9,46.6,3.5,15.9,12.9,1.38,52.35,vst_HARV_2014,HARV_022,NaN,41,4.5,26.9,NA,basePlot,42.434194,-72.198778,WGS84,18N,730415.102,4701788.269,0.19,GeoXH 6000,0.21,evergreenForest,cdw|cfc|dhp|hbp|vst,"c(-72.1987784184811, 42.4341942540076)",730417.1379561919,4701792.282088883,54.45000000000001,27.699999999999996,9.400000000000002,6.4,single bole tree,NA,NA,NA,measured
NEON.PLA.D01.HARV.01397,D01,PIST,16.7,Pinus strobus L.,206.5,HARV,42.424733,-72.2546,169,17.435000000000002,17.94,0.102,0.355,0.198,8.24,3,2.17,0.106,0.103,312.8,51.5,2.7,19.4,9.5,1.22,51.54,vst_HARV_2014,HARV_010,NaN,33,3.7,333.5,NA,basePlot,42.424651,-72.254467,WGS84,18N,725868.407,4700578.782,0.15,GeoXH 6000,0.17,mixedForest,cdw|cfc|dhp|hbp|vst,"c(-72.2544668155128, 42.4246511394447)",725866.7560680915,4700582.093257138,40.49999999999999,16.700000000000003,11.000000000000002,9.500000000000002,NA,Live,Full sun,NA,measured
NEON.PLA.D01.HARV.01410,D01,PIST,17.2,Pinus strobus L.,188.1,HARV,42.434194,-72.198778,186.2,18.39,17.22,0.163,0.39,0.308,10.26,2.94,2.22,0.126,0.098,605.9,40.6,4.1,13.4,26.5,1.27,51.74,vst_HARV_2014,HARV_022,NaN,41,7.6,103.4,NA,basePlot,42.434194,-72.198778,WGS84,18N,730415.102,4701788.269,0.19,GeoXH 6000,0.21,evergreenForest,cdw|cfc|dhp|hbp|vst,"c(-72.1987784184811, 42.4341942540076)",730422.4950966743,4701786.507715934,65.10000000000002,29.400000000000002,9.800000000000002,9.3,single bole tree,NA,NA,NA,measured
