namedLocation,domainID,siteID,plotType,sampleID,sampleCode,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,cfc_LMA_freshWeight,cfc_LMA_dryWeight,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,sampleCode.x.x.x,ligninSampleBarcode,cfc_lignin_dryWeight,ligninPercent,cellulosePercent,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,subplotID,sampleType,samplingMethod,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible.x,sampleCode.y,subsample1Height,subsample2Height,subsample3Height,chlorophyllSampleCode.x,chlorophyllSampleCondition,collectedBy,recordedBy,sampleCode.x.x,ligninSampleBarcode.x,cfc_elements_dryWeight,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,sampleCode.y.y,chlorophyllSampleCode.y,extractionStartDate,extractionLength,cfc_chlorophyll_freshWeight,solventVolume,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,sampleCode.x,cnSampleCode.x,ligninSampleBarcode.y,archiveSampleID,archiveSampleCode,toxicodendronPossible.y,processedBy,sampleCode.y.y.y,cnSampleCode.y,nitrogenPercent,carbonPercent,CNratio,cnPercentQF,percentAccuracyQF,instrument
SCBI_005.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=,NA,HvxvVDlCk1+52DmmtjULpk2KHiWTONl2rQpHbV08Y6g=,NA,OK,2017-07-24T20:15:00Z,llemmon@field-ops.org,3.108,1.572,jward@battelleecology.org,3,18126.7,89,86.7,0.506,mhughes@field-ops.org,NA,NA,0.476,18.81,20.38,deciduousForest,WGS84,38.900539,-78.161859,20.1,269.8,0.17,NEON.DOC.001024vD,21,Woody individual,line launcher,N,13004,NEON.PLA.D02.SCBI.13004,QUAL,Quercus alba L.,Physically damaged,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,llemmon@field-ops.org,alandes@field-ops.org,NA,NA,0.108,50,0.15,0.58,0.52,0.34,0.12,241.5,38.7,3.6,75.2,12.4,NA,NA,2017-08-02,48,0.082,20,11.63,3.58,2.55,A,0,NA,NA,NA,HvxvVDlCk1+52DmmtjULpk2KHiWTONl2Yt5V+pUiTkk=,NA,NA,imatlock@field-ops.org,NA,NA,2.55,49,19.2,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_005.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsrCrVemJtdg3hXHAfverKug==,NA,OK,2017-07-24T20:20:00Z,llemmon@field-ops.org,1.842,0.902,jward@battelleecology.org,2,11001,87,82,0.49,mhughes@field-ops.org,NA,NA,0.535,17.74,19.25,deciduousForest,WGS84,38.900539,-78.161859,20.1,269.8,0.17,NEON.DOC.001024vD,31,Woody individual,line launcher,Y,00279,NEON.PLA.D02.SCBI.00279,FRAM2,Fraxinus americana L.,Insect damaged,NA,NA,NA,NA,NA,NA,NA,25.1,27,NA,NA,NA,llemmon@field-ops.org,alandes@field-ops.org,NA,NA,0.11,50,0.22,0.89,0.97,0.37,0.17,29.7,63.1,6.3,19.6,23.9,NA,NA,2017-08-02,48,0.0756,20,9.99,2.96,2.64,A,0,NA,NA,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsq7aM3WxxYM0=,NA,NA,imatlock@field-ops.org,NA,NA,2.24,49.67,22.2,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_005.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsrCrVemJtdg3hXHAfverKug==,NA,OK,2017-07-24T20:20:00Z,llemmon@field-ops.org,1.842,0.902,jward@battelleecology.org,2,11001,87,82,0.49,mhughes@field-ops.org,NA,NA,0.535,17.74,19.25,deciduousForest,WGS84,38.900539,-78.161859,20.1,269.8,0.17,NEON.DOC.001024vD,31,Woody individual,line launcher,Y,00279,NEON.PLA.D02.SCBI.00279,FRAM2,Fraxinus americana L.,Insect damaged,NA,NA,NA,NA,NA,NA,NA,25.1,27,NA,NA,NA,llemmon@field-ops.org,alandes@field-ops.org,NA,NA,0.105,50,0.22,0.88,1,0.37,0.18,31.3,71.9,7.2,18.5,25.2,NA,NA,2017-08-02,48,0.0756,20,9.99,2.96,2.64,A,0,NA,NA,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsq7aM3WxxYM0=,NA,NA,imatlock@field-ops.org,NA,NA,2.24,49.67,22.2,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_005.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsrCrVemJtdg3hXHAfverKug==,NA,OK,2017-07-24T20:20:00Z,llemmon@field-ops.org,1.842,0.902,jward@battelleecology.org,2,11001,87,82,0.49,mhughes@field-ops.org,NA,NA,0.498,17.17,19.41,deciduousForest,WGS84,38.900539,-78.161859,20.1,269.8,0.17,NEON.DOC.001024vD,31,Woody individual,line launcher,Y,00279,NEON.PLA.D02.SCBI.00279,FRAM2,Fraxinus americana L.,Insect damaged,NA,NA,NA,NA,NA,NA,NA,25.1,27,NA,NA,NA,llemmon@field-ops.org,alandes@field-ops.org,NA,NA,0.11,50,0.22,0.89,0.97,0.37,0.17,29.7,63.1,6.3,19.6,23.9,NA,NA,2017-08-02,48,0.0756,20,9.99,2.96,2.64,A,0,NA,NA,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsq7aM3WxxYM0=,NA,NA,imatlock@field-ops.org,NA,NA,2.24,49.67,22.2,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_005.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsrCrVemJtdg3hXHAfverKug==,NA,OK,2017-07-24T20:20:00Z,llemmon@field-ops.org,1.842,0.902,jward@battelleecology.org,2,11001,87,82,0.49,mhughes@field-ops.org,NA,NA,0.498,17.17,19.41,deciduousForest,WGS84,38.900539,-78.161859,20.1,269.8,0.17,NEON.DOC.001024vD,31,Woody individual,line launcher,Y,00279,NEON.PLA.D02.SCBI.00279,FRAM2,Fraxinus americana L.,Insect damaged,NA,NA,NA,NA,NA,NA,NA,25.1,27,NA,NA,NA,llemmon@field-ops.org,alandes@field-ops.org,NA,NA,0.105,50,0.22,0.88,1,0.37,0.18,31.3,71.9,7.2,18.5,25.2,NA,NA,2017-08-02,48,0.0756,20,9.99,2.96,2.64,A,0,NA,NA,NA,HvxvVDlCk18recdnuMUehunN/NlpHPvsq7aM3WxxYM0=,NA,NA,imatlock@field-ops.org,NA,NA,2.24,49.67,22.2,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_005.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=,NA,HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRMb4CDTGY9n4=,NA,OK,2017-07-24T20:30:00Z,llemmon@field-ops.org,5.022,1.667,jward@battelleecology.org,3,22112.5,96,75.4,0.332,mhughes@field-ops.org,NA,NA,0.463,13.23,21.41,deciduousForest,WGS84,38.900539,-78.161859,20.1,269.8,0.17,NEON.DOC.001024vD,41,Woody individual,line launcher,N,13003,NEON.PLA.D02.SCBI.13003,LITU,Liriodendron tulipifera L.,OK,NA,NA,NA,NA,NA,NA,NA,25.6,26.3,26.6,NA,NA,llemmon@field-ops.org,alandes@field-ops.org,NA,NA,0.108,50,0.06,1.72,0.74,0.63,0.13,212.8,272.6,3.7,22,24.2,NA,NA,2017-08-02,48,0.0952,20,11.39,3.8,2.41,A,0,NA,NA,NA,HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRHEsSl3TVxwM=,NA,NA,imatlock@field-ops.org,NA,NA,2.29,46.2,20.2,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_004.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=,NA,HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1yGPazs82Hv0=,NA,OK,2017-07-25T21:18:00Z,gchapman@neoninc.org,2.324,0.874,jward@battelleecology.org,1,13428.9,99,65.1,0.376,mhughes@field-ops.org,NA,NA,0.478,16.3,14.53,deciduousForest,WGS84,38.896935,-78.146456,20.3,312.6,0.5,NEON.DOC.001024vD,41,Woody individual,line launcher,Y,01151,NEON.PLA.D02.SCBI.01151,JUNI,Juglans nigra L.,OK,NA,NA,NA,NA,NA,NA,NA,24.1,NA,NA,NA,NA,mhughes@field-ops.org,alandes@field-ops.org,NA,NA,0.106,50,0.16,1.68,1.98,0.55,0.11,67.5,53.2,25.1,46.9,16.5,NA,NA,2017-08-02,48,0.091,20,9.52,3.01,3.2,A,0,NA,NA,NA,HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1uKGoRzt3DtU=,NA,NA,imatlock@field-ops.org,NA,NA,2.25,47.51,21.2,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_004.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=,NA,HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgclcizGZ4uwjb9CmhL1UFrFA==,NA,OK,2017-07-25T21:25:00Z,gchapman@neoninc.org,3.022,1.477,jward@battelleecology.org,1,14882.7,98,99.2,0.489,mhughes@field-ops.org,NA,NA,0.526,16.52,22.98,deciduousForest,WGS84,38.896935,-78.146456,20.3,312.6,0.5,NEON.DOC.001024vD,31,Woody individual,line launcher,N,13002,NEON.PLA.D02.SCBI.13002,FRAM2,Fraxinus americana L.,Insect damaged,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,mhughes@field-ops.org,alandes@field-ops.org,NA,NA,0.105,50,0.17,0.99,1.31,0.28,0.17,312.5,75,8.1,41.8,29.5,NA,NA,2017-08-02,48,0.0768,20,8.86,2.68,2.06,A,0,NA,NA,NA,HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcvPsxf3ugzR4=,NA,NA,imatlock@field-ops.org,NA,NA,1.92,48.87,25.4,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_004.basePlot.cfc,D02,SCBI,distributed,HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=,NA,HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgN+0Gcd9TOmSU=,NA,OK,2017-07-25T21:34:00Z,gchapman@neoninc.org,2.713,1.297,jward@battelleecology.org,3,12054.3,99,107.6,0.478,mhughes@field-ops.org,NA,NA,0.489,24.84,19.7,deciduousForest,WGS84,38.896935,-78.146456,20.3,312.6,0.5,NEON.DOC.001024vD,23,Woody individual,line launcher,N,13001,NEON.PLA.D02.SCBI.13001,QUVE,Quercus velutina Lam.,OK,NA,NA,NA,NA,NA,NA,NA,27.3,27.3,NA,NA,NA,mhughes@field-ops.org,alandes@field-ops.org,NA,NA,0.106,50,0.1,0.66,0.95,0.24,0.11,138.8,45.3,8.6,30.1,29.2,NA,NA,2017-08-02,48,0.081,20,9.94,2.83,2.22,A,0,NA,NA,NA,HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNRuxYDDyqCro=,NA,NA,imatlock@field-ops.org,NA,NA,2.09,46.91,22.5,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
SCBI_045.basePlot.cfc,D02,SCBI,tower,HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=,NA,HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a1a/JAgFiszI=,NA,OK,2017-07-25T21:41:00Z,gchapman@neoninc.org,5.142,2.124,jward@battelleecology.org,1,24929.3,95,85.2,0.413,mhughes@field-ops.org,NA,NA,0.518,13.15,15.6,deciduousForest,WGS84,38.890566,-78.139431,20.1,359,0.1,NEON.DOC.001024vD,21,Woody individual,line launcher,Y,03301,NEON.PLA.D02.SCBI.03301,JUNI,Juglans nigra L.,OK,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,mhughes@field-ops.org,alandes@field-ops.org,NA,NA,0.108,50,0.17,1.48,1.65,0.28,0.11,31.1,55.5,10.4,32.6,15,NA,NA,2017-08-02,48,0.0778,20,9.58,3.37,3.23,A,0,NA,NA,NA,HvxvVDlCk1883DeQw28MdnJFN2Yr4f0azL4rC1E4FeU=,NA,NA,imatlock@field-ops.org,NA,NA,2.46,47.57,19.3,0,0,Carlo Erba 1110 Elemental Analyzer with Zero Blank Autosampler coupled to a Thermo Delta V Plus IRMS via Thermo Conflo IV interface
