unique_id,site_id,utmZone,UTM_E,UTM_N,taxonID,elevation,Hgt,mass_per_area,fifteen_n,thirteen_c,total_n,total_c,longitude,latitude
D314_F005,OSBS,17N,400783.13,3285603.47,PIEL,28.3,3.9,137,1.5309252,-30.790565,1.7552078,48.5194274,-82.0255779854811,29.6965691550372
D314_F008,OSBS,17N,403661.84,3284399.56,PIPA2,46.6,12.1,275,-3.5926819,-28.2813225,0.8147427,49.962468,-81.9957182157818,29.6859325070784
D314_F011,OSBS,17N,403661.84,3284399.56,QULA2,46.6,9.8,137,-3.5686603,-27.99687,0.8222247,46.655896,-81.9957182157818,29.6859325070784
D314_F014,OSBS,17N,403603.11,3285057.75,PIPA2,46.4,10.1,272,-3.021168,-28.6860075,0.6754988,49.3382987,-81.9963837451443,29.6918672311614
D314_F017,OSBS,17N,403603.11,3285057.75,QULA2,46.4,10.3,136,-2.9270834,-30.2656475,0.6901564,51.5935626,-81.9963837451443,29.6918672311614
D314_F020,OSBS,17N,404021.28,3285065.47,PIPA2,43.1,13.9,239,-3.426587,-30.2430614,0.6282811,50.4317353,-81.9920626545725,29.6919693309325
D314_F024,OSBS,17N,404021.28,3285065.47,QULA2,43.1,9.1,139,-2.0623142,-30.3095722,1.2937789,49.9661847,-81.9920626545725,29.6919693309325
D314_F026,OSBS,17N,404023.4,3285244.41,PIPA2,44.4,12.4,233,-2.976497,-30.0797187,0.6934845,49.9931761,-81.9920566074439,29.6935841910896
D314_F030,OSBS,17N,404023.4,3285244.41,QULA2,44.4,14.4,122,-2.8494716,-30.1080836,0.9877749,49.4367665,-81.9920566074439,29.6935841910896
D314_F032,OSBS,17N,402553.71,3284312.21,PIPA2,46.7,9.6,249,-3.3829332,-29.100703,0.6706812,49.369795,-82.0071621433844,29.6850577270755
D314_F037,OSBS,17N,407442.29,3286354.41,PIPA2,33.3,15.6,246,-3.5780112,-29.169072,0.6151202,49.198587,-81.9568165521857,29.7038604886045
D314_F039,OSBS,17N,407442.29,3286354.41,PIPA2,33.3,12.8,206,-2.6324282,-28.7700428,0.848584,50.4676588,-81.9568165521857,29.7038604886045
D314_F046,OSBS,17N,408343.24,3285364.19,QULA3,33.1,2.7,97,-3.071516,-29.1192245,1.5813551,48.9560782,-81.9474201747639,29.6949919117118
D314_F048,OSBS,17N,408343.24,3285364.19,PIPA2,33.1,22.8,285,-2.59142,-27.0661926,0.8489979,50.6853696,-81.9474201747639,29.6949919117118
D314_F057,OSBS,17N,408881.31,3285002,QULA3,40.4,7.9,130,-2.4693956,-29.3696181,1.532048,50.0846618,-81.9418284985858,29.6917632393105
D314_F061,OSBS,17N,408432.35,3283624.44,PIPA2,35.6,9.6,204,-2.8724762,-30.9394686,0.9669018,48.3974872,-81.9463520808967,29.6792993349764
D314_F079,OSBS,17N,406873.01,3284853.76,PIPA2,35.1,15.7,246,-1.8242666,-29.2493118,0.7412465,49.9755341,-81.962571690666,29.6902763598301
D314_F084,OSBS,17N,406873.01,3284853.76,QULA2,35.1,12.4,127,-1.7622542,-30.4083603,1.3913739,50.462121,-81.962571690666,29.6902763598301
D314_F101,OSBS,17N,406243.18,3287072.57,CEOC2,27.6,1.7,74,1.6264234,-27.4789508,2.3851691,51.7267917,-81.9692731372521,29.7102508331164
D314_F105,OSBS,17N,407202.41,3284163.58,PIPA2,38.6,16.2,269,-2.4623942,-28.7123349,0.8865781,50.1079355,-81.9591082294121,29.6840730276212
D314_F111,OSBS,17N,406393.81,3283983.86,PITA,27.7,17.8,193,-1.0431104,-27.5630674,1.2443538,49.2478544,-81.9674489846323,29.6823905225519
