"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","collectDate","ovenStartDate","ovenEndDate","sampleCondition","cnSampleID","cnSampleCode","ligninSampleID","ligninSampleBarcode","archiveSampleID","archiveSampleCode","toxicodendronPossible","processedBy","remarks","dataQF"
"8c9ca96b-66d7-4b7a-bf5b-41028f0b7836","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=","A00000000772","2018-08-29T13:38Z","2018-08-30T18:34Z","2018-09-10T20:04Z","OK","AVQkM2txccdJInaV60DTclWghgJyQkIgKcu9WGq0iVY=","A00000032127","AVQkM2txccdJInaV60DTclWghgJyQkIgfopZUwoHFfo=","A00000032128","AVQkM2txccdJInaV60DTclWghgJyQkIgZ2zSCYqWxls=","A00000032126",NA,"jlerner@battelleecology.org",NA,NA
"36dfbea9-a875-4ba2-b3cb-f52f4bf9aebf","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=","A00000000744","2018-08-30T13:54Z","2018-09-05T14:00Z","2018-09-10T20:07Z","OK","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRdPLdZR/psak=","A00000032124","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRtnfumfA7EMztdu9DrHXwNQ==","A00000032125","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRKUbj/b98IN8=","A00000032123",NA,"jlerner@battelleecology.org",NA,NA
"f138cd65-85c0-4069-8837-9a4a65422fbf","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=","A00000000773","2018-08-30T14:54Z","2018-09-05T14:00Z","2018-09-10T20:10Z","OK","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XwiVTEeAQUH0=","A00000032120","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XohwQYWZA7Js=","A00000032122","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXKvcmkkB4mU=","A00000032121",NA,"jlerner@battelleecology.org",NA,NA
"bd19ecb9-f7b4-48d7-8332-ea1b394c9385","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=","A00000000788","2018-08-30T18:38Z","2018-09-05T14:00Z","2018-09-10T20:01Z","OK","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+HiRlP/KGqtk=","A00000032110","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+ZwljW9CcX4s=","A00000032109","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+fldSjiJrtRE=","A00000032108",NA,"jlerner@battelleecology.org",NA,NA
"e343def9-ef10-48b3-aecd-e414344dd9bd","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=","A00000000745","2018-08-30T19:35Z","2018-09-05T14:00Z","2018-09-10T20:09Z","OK","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpkkdTwPNTJtc=","A00000032112","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpEOCjhkSeg7M=","A00000032113","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpcFRefWTnRoQ=","A00000032111",NA,"jlerner@battelleecology.org",NA,NA
"ef144d65-775b-458d-96d6-33db0dbe522d","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","2018-09-04T15:09Z","2018-09-05T20:24Z","2018-09-10T20:14Z","OK","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrB3ae0H9ebzmc=","A00000032115","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBJcCx9RZ4/xI=","A00000032116","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBrEMSrEMLoOw=","A00000032114",NA,"jlerner@battelleecology.org","",NA
"33426cb0-7c72-403a-8ce8-01bbd2e2cf09","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","2018-09-04T18:41Z","2018-09-05T20:24Z","2018-09-10T20:12Z","OK","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJBc8ZSNzwJrw=","A00000032129","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJDFlPlj0Ij8c=","A00000032130","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJkoptmfeyd4E=","A00000032131",NA,"jlerner@battelleecology.org","",NA
"9a388941-68d8-4ab6-af0a-dbaddb1c3ffd","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","2018-09-04T20:14Z","2018-09-05T15:50Z","2018-09-10T19:54Z","OK","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MIp2kth1RJ+4=","A00000032118","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MuuxpL36YFgI=","A00000032119","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MrNWw2aFRnk4=","A00000032117",NA,"jlerner@battelleecology.org","",NA
"72e376f5-7613-4146-94f5-d2c8c2c48474","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","2018-09-05T14:07Z","2018-09-06T15:07Z","2018-09-10T20:27Z","OK","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6yDRXI1iufI8=","A00000032107","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6UhOg6WaFYWBZ4WLDStwGZQ==","A00000032106","AVQkM2txccfa6Tc84ohrE3TBoxsq44q69NjWQM+y9AA=","A00000032105",NA,"jlerner@battelleecology.org","",NA
"3198a296-3b97-4730-a08e-5a518ceb419f","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","2018-09-05T14:50Z","2018-09-06T15:07Z","2018-09-10T20:25Z","OK","AVQkM2txcccnUG9qT4JtDncUn6t7HQMg7+YNToOJahE=","A00000032104","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgDcfbGh9QKys=","A00000032103","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgL3thFrlKJlY=","A00000032102",NA,"jlerner@battelleecology.org","",NA
"6d221827-8e35-4caf-80a2-e84b76f951fe","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","2018-09-05T16:06Z","2018-09-06T15:07Z","2018-09-10T20:26Z","OK","AVQkM2txccdU9XU1geX3p7dBL1yeO83x3rrfX+sT5m4=","A00000032100","AVQkM2txccdU9XU1geX3p7dBL1yeO83xV/VGpWjIRYw=","A00000032101","AVQkM2txccdU9XU1geX3p7dBL1yeO83xt3h6atEr+P0=","A00000032099",NA,"jlerner@battelleecology.org","",NA
"c7923661-7b20-4a02-93ae-1f7b90b3b5e9","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765","2018-09-05T18:04Z","2018-09-06T15:07Z","2018-09-10T20:24Z","OK","AVQkM2txccff87SxuZNcE+iY147qeowcnI4m1SoX82U=","A00000032095","AVQkM2txccff87SxuZNcE+iY147qeowc6HcElX59D0U=","A00000032094","AVQkM2txccff87SxuZNcE+iY147qeowcQBru2D7+9g8=","A00000032093",NA,"jlerner@battelleecology.org","",NA
"b5a02b37-d194-4234-8cf9-1480650fa1cc","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747","2018-09-06T13:01Z","2018-09-07T15:50Z","2018-09-10T20:19Z","OK","AVQkM2txcccbfq2mByGOeXPHFFcT7zucuBhLqbW8U5w=","A00000032133","AVQkM2txcccbfq2mByGOeXPHFFcT7zucYJ0igMOHGDQ=","A00000032134","AVQkM2txcccbfq2mByGOeXPHFFcT7zucdNYQQNROkzc=","A00000032132",NA,"jlerner@battelleecology.org","",NA
"5950694a-7536-45c8-9de8-52f874b9662a","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=","A00000000764","2018-09-06T14:34Z","2018-09-07T15:50Z","2018-09-10T20:17Z","OK","AVQkM2txccenLB73JxEdacLoLcwaSeCKoBxGqKkMTsU=","A00000032098","AVQkM2txccenLB73JxEdacLoLcwaSeCKT915s93fus8=","A00000032097","AVQkM2txccenLB73JxEdacLoLcwaSeCKNDNvATY3kd8=","A00000032096",NA,"jlerner@battelleecology.org","Originally recorded as QURU",NA
"79ed1f0d-7819-41f0-860f-4d0a771d805d","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=","A00000000743","2018-09-06T16:56Z","2018-09-07T15:50Z","2018-09-10T20:20Z","OK","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5NqSSXuDeW3s=","A00000032139","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5GW7F37o0G84=","A00000032140","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5wYetdSxKT10=","A00000032138",NA,"jlerner@battelleecology.org","",NA
"5adfaf61-1da9-4896-b52a-6e371ae9af09","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=","A00000000758","2018-09-06T18:11Z","2018-09-07T15:50Z","2018-09-10T20:16Z","OK","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7QZGJAsrUSDw=","A00000032137","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7fGYYZ+4JSduLj8Roq1NxBw==","A00000032136","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7kYs+fNKKyyU=","A00000032135",NA,"jlerner@battelleecology.org","",NA
