"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","chlorophyllSampleID","chlorophyllSampleCode","collectDate","sampleCondition","extractionStartDate","extractionLength","freshMass","solventVolume","analyticalRepNumber","extractChlAConc","extractChlBConc","extractCarotConc","relativeAccuracyScale","handlingQF","measurementQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"1fd99e56-aaae-46ca-aefe-336ad787124a","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=","A00000000772","AVQkM2txccdJInaV60DTclWghgJyQkIgDcoIun1GyrU=","D00000008014","2018-08-29T13:38Z","OK","2018-09-08",48,0.2491,20,1,7.81,2.41,2.14,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"64c672dc-750b-4610-878a-b10a3828d8be","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=","A00000000744","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRNtCa2mXFELszdFWftE0bvQ==","D00000007973","2018-08-30T13:54Z","OK","2018-09-08",48,0.1516,20,1,13.08,3.72,3.91,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"5d81668f-9aaa-4886-a866-e94a49494c56","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=","A00000000773","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XzbVb0Q9B7Vo=","D00000008016","2018-08-30T14:54Z","OK","2018-09-08",48,0.1465,20,1,17.66,5.6,4.39,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"12d5bd8a-1fd5-4323-a19b-d2625f67c075","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=","A00000000788","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+cBhS81DxCw0=","D00000007996","2018-08-30T18:38Z","OK","2018-09-08",48,0.122,20,1,7.24,1.99,2.28,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"0a01fbd4-4b98-4750-b0dc-8a9a7dfe67d3","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=","A00000000745","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpLJ1UgD12bp4=","D00000007995","2018-08-30T19:35Z","OK","2018-09-08",48,0.1525,20,1,13.82,3.93,3.64,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"0503d248-9cc9-48a7-8061-b24170f3b219","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBQ/08Rszc8CI=","D00000007987","2018-09-04T15:09Z","OK","2018-09-17",48,0.314,20,1,8.79,2.65,3.17,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"1d257e48-0403-45c3-a115-c77aab0c5821","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJEtN6joQMpC8=","D00000008015","2018-09-04T18:41Z","OK","2018-09-17",48,0.2967,20,1,6.51,2.74,2.65,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"5e1eb196-397a-41d9-8a81-b78d6173fe63","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MSKVTELKWbng=","D00000007972","2018-09-04T20:14Z","OK","2018-09-17",48,0.2751,20,1,15.94,4.8,4.58,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"0941f873-2a10-4dab-9e99-d8aa8615ad7b","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6SxAKpyu4kuAEWNSYy1wmkg==","D00000007981","2018-09-05T14:07Z","OK","2018-09-17",48,0.2805,20,1,16.64,5.03,4.95,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"697e41eb-af69-4b94-97a7-321df03d2247","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","AVQkM2txcccnUG9qT4JtDncUn6t7HQMg1dk0YYgbgMI=","D00000008011","2018-09-05T14:50Z","OK","2018-09-17",48,0.2156,20,1,9.56,2.89,2.29,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
"b71f8a74-be9a-4f87-805d-c9418818f48d","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","AVQkM2txccdU9XU1geX3p7dBL1yeO83xk/bouhWA5IQ=","D00000007979","2018-09-05T16:06Z","OK","2018-09-17",48,0.2408,20,1,16.68,3.56,4.06,"A","0","0",NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","5SD3v6V9C763w1YKG/y7EA==","oRIgwAyNbI9p3dxUK5sY7g==",NA
