"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","ligninSampleID","ligninSampleBarcode","collectDate","analysisDate","analyticalRepNumber","dryMass","digestVolume","foliarPhosphorusConc","foliarPotassiumConc","foliarCalciumConc","foliarMagnesiumConc","foliarSulfurConc","foliarManganeseConc","foliarIronConc","foliarCopperConc","foliarBoronConc","foliarZincConc","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"82d4f589-02dd-4c0e-9ab6-2e23ee307553","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=","A00000000772","AVQkM2txccdJInaV60DTclWghgJyQkIgfopZUwoHFfo=","A00000032128","2018-08-29T13:38Z","2018-12-26",1,0.131,50,0.142,1.191,0.253,0.074,0.082,627.2,35.5,2.4,29.6,17.9,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"c95b1f72-8ec8-43b8-a89d-b0a5562037d9","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=","A00000000744","AVQkM2txcccfnFvOIWuQJKbDLFELfXIRtnfumfA7EMztdu9DrHXwNQ==","A00000032125","2018-08-30T13:54Z","2018-12-26",1,0.14,50,0.255,1.454,0.887,0.287,0.283,40.1,50.3,13.4,38.1,9.6,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"a54399f8-71ae-4dd2-b4bb-973a59e2bf39","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=","A00000000773","AVQkM2txccf8cJ5aHkcu56cKijO7cC4XohwQYWZA7Js=","A00000032122","2018-08-30T14:54Z","2018-12-26",1,0.118,50,0.191,0.994,0.446,0.149,0.1,592.3,46.5,5.8,28.4,3.3,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"4626dcd3-1101-4bd4-b9ea-5ebcda67e844","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=","A00000000788","AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+ZwljW9CcX4s=","A00000032109","2018-08-30T18:38Z","2018-12-26",1,0.171,50,0.261,1.453,0.155,0.07,0.097,228,51.1,4.4,25,24.5,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"179607ff-23ab-492a-bf29-a9f337ae9b8f","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=","A00000000745","AVQkM2txccdkxXlfsPQ38KN4nflsRnjpEOCjhkSeg7M=","A00000032113","2018-08-30T19:35Z","2018-12-26",1,0.137,50,0.32,0.775,0.343,0.147,0.107,347.8,38,6.7,28.6,6.1,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"14cbfbb6-b5a7-48ca-871c-456caf0e4ef1","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBJcCx9RZ4/xI=","A00000032116","2018-09-04T15:09Z","2018-12-26",1,0.124,50,0.22,0.752,0.385,0.144,0.105,551.3,38,3,46.4,1.8,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"6ddc699f-73e0-4ffe-8372-83cc7dc66b8e","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJDFlPlj0Ij8c=","A00000032130","2018-09-04T18:41Z","2018-12-26",1,0.108,50,0.141,0.759,0.244,0.095,0.109,503.4,35.8,3.3,9.3,38.6,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"216a5e09-0904-4696-a85e-df0f7361664d","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MuuxpL36YFgI=","A00000032119","2018-09-04T20:14Z","2018-12-26",1,0.139,50,0.089,0.498,0.412,0.146,0.102,554.2,34.5,8.3,38.9,4.8,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"820ba5ee-fe37-4c9c-a4c3-c90dc110ab23","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6UhOg6WaFYWBZ4WLDStwGZQ==","A00000032106","2018-09-05T14:07Z","2018-12-26",1,0.109,50,0.197,0.915,0.897,0.079,0.175,1228.8,56.7,5.2,51,10.8,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
"b81ac56e-c249-4214-b690-fe3f01a2753e","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgDcfbGh9QKys=","A00000032103","2018-09-05T14:50Z","2018-12-26",1,0.121,50,0.127,0.34,0.29,0.115,0.1,616.6,38.5,4.7,18.6,40.7,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","SOP - BGTML025 Plant Samples Digestion and Analysis in ICPMS","itZv6wIUt8zCWgzMtO5itQ==","8kr+qfmeu1FQ7vvHWE7F/A==",NA
